#SampleID	MouseID	Location	Organ	Genotype	Time	Treatment	Gender	Description
KCE1	Kvon1	Luminal	Colon	WT	day0	Untreated	Female	Kellys_Kvon_ABX_Experiment
KCE11	Kvon11	Luminal	Colon	WT	day10	Vancomycin	Female	Kellys_Kvon_ABX_Experiment
KCE12	Kvon12	Luminal	Colon	WT	day10	Vancomycin	Female	Kellys_Kvon_ABX_Experiment
KCE13	Kvon13	Luminal	Colon	WT	day0	Untreated	Male	Kellys_Kvon_ABX_Experiment
KCE14	Kvon14	Luminal	Colon	WT	day0	Untreated	Male	Kellys_Kvon_ABX_Experiment
KCE17	Kvon17	Luminal	Colon	WT	day10	Vancomycin	Male	Kellys_Kvon_ABX_Experiment
KCE18	Kvon18	Luminal	Colon	WT	day10	Vancomycin	Male	Kellys_Kvon_ABX_Experiment
KCE19	Kvon19	Luminal	Colon	WT	day0	Untreated	Male	Kellys_Kvon_ABX_Experiment
KCE2	Kvon2	Luminal	Colon	WT	day0	Untreated	Female	Kellys_Kvon_ABX_Experiment
KCE20	Kvon20	Luminal	Colon	WT	day0	Untreated	Male	Kellys_Kvon_ABX_Experiment
KCE21	Kvon21	Luminal	Colon	WT	day10	Vancomycin	Male	Kellys_Kvon_ABX_Experiment
KCE22	Kvon22	Luminal Colon	WT	day10	Vancomycin	Male	Kellys_Kvon_ABX_Experiment
KCE4	Kvon4	Luminal	Colon	WT	day10	Vancomycin	Female	Kellys_Kvon_ABX_Experiment
KCE7	Kvon7	Luminal	Colon	WT	day0	Untreated	Female	Kellys_Kvon_ABX_Experiment
KCE8	Kvon8	Luminal Colon	WT	day0	Untreated	Female	Kellys_Kvon_ABX_Experiment
KD35	M22	3rd50	Colon	WT	na	na	Male	OGWT_Characterization
KD36	M22	1st100	Colon	WT	na	na	Male	OGWT_Characterization
KD40	M23	3rd50	Colon	WT	na	na	Male	OGWT_Characterization
KD403	WTF2	1st100	Colon	WT	na	na	Female	WTF_Characterization
KD404	WTF2	3rd50	Colon	WT	na	na	Female	WTF_Characterization
KD405	WTF3	1st100	Colon	WT	na	na	Female	WTF_Characterization
KD406	WTF3	3rd50	Colon	WT	na	na	Female	WTF_Characterization
KD407	WTF4	1st100	Colon	WT	na	na	Female	WTF_Characterization
KD408	WTF4	3rd50	Colon	WT	na	na	Female	WTF_Characterization
KD41	M23	1st100	Colon	WT	na	na	Male	OGWT_Characterization
KD411	WTF6	1st100	Colon	WT	na	na	Female	WTF_Characterization
KD412	WTF6	3rd50	Colon	WT	na	na	Female	WTF_Characterization
KD413	M21	1st100	Colon	WT	na	na	Male	OGWT_Characterization
KD414	M21	3rd50	Colon	WT	na	na	Male	OGWT_Characterization
KD45	M24	3rd50	Colon	WT	na	na	Male	OGWT_Characterization
KD46	M24	1st100	Colon	WT	na	na	Male	OGWT_Characterization
KD50	M25	3rd50	Colon	WT	na	na	Male	OGWT_Characterization
KD51	M25	1st100	Colon	WT	na	na	Male	OGWT_Characterization
KD55	M26	3rd50	Colon	WT	na	na	Male	OGWT_Characterization
KD56	M26	1st100	Colon	WT	na	na	Male	OGWT_Characterization
KD645	WTF1	1st100	Colon	WT	na	na	Female	WTF_Characterization
KD646	WTF1	3rd50	Colon	WT	na	na	Female	WTF_Characterization
KD801	Kvon1	1st50	Colon	WT	day0	Untreated	Female	Kellys_Kvon_ABX_Experiment
KD805	Kvon2	1st50	Colon	WT	day0	Untreated	Female	Kellys_Kvon_ABX_Experiment
KD813	Kvon4	1st50	Colon	WT	day10	Vancomycin	Female	Kellys_Kvon_ABX_Experiment
KD825	Kvon7	1st50	Colon	WT	day0	Untreated	Female	Kellys_Kvon_ABX_Experiment
KD829	Kvon8	1st50	Colon	WT	day0	Untreated	Female	Kellys_Kvon_ABX_Experiment
KD841	Kvon11	1st50	Colon	WT	day10	Vancomycin	Female	Kellys_Kvon_ABX_Experiment
KD845	Kvon12	1st50	Colon	WT	day10	Vancomycin	Female	Kellys_Kvon_ABX_Experiment
KD849	Kvon13	1st50	Colon	WT	day0	Untreated	Male	Kellys_Kvon_ABX_Experiment
KD853	Kvon14	1st50	Colon	WT	day0	Untreated	Male	Kellys_Kvon_ABX_Experiment
KD865	Kvon17	1st50	Colon	WT	day10	Vancomycin	Male	Kellys_Kvon_ABX_Experiment
KD869	Kvon18	1st50	Colon	WT	day10	Vancomycin	Male	Kellys_Kvon_ABX_Experiment
KD873	Kvon19	1st50	Colon	WT	day0	Untreated	Male	Kellys_Kvon_ABX_Experiment
KD877	Kvon20	1st50	Colon	WT	day0	Untreated	Male	Kellys_Kvon_ABX_Experiment
KD881	Kvon21	1st50	Colon	WT	day10	Vancomycin	Male	Kellys_Kvon_ABX_Experiment
KD885	Kvon22	1st50	Colon	WT	day10	Vancomycin	Male	Kellys_Kvon_ABX_Experiment
KD901	Jax7	1st50	Colon	WT	na	Untreated	Female	Jax_Homeostasis
KD902	Jax7	2nd50	Colon	WT	na	Untreated	Female	Jax_Homeostasis
KD903	Jax8	1st50	Colon	WT	na	Untreated	Female	Jax_Homeostasis
KD904	Jax8	2nd50	Colon	WT	na	Untreated	Female	Jax_Homeostasis
KD905	Jax13	1st50	Colon	WT	na	Untreated	Male	Jax_Homeostasis
KD906	Jax13	2nd50	Colon	WT	na	Untreated	Male	Jax_Homeostasis
KD909	Jax19	1st50	Colon	WT	na	Untreated	Male	Jax_Homeostasis
KD910	Jax19	2nd50	Colon	WT	na	Untreated	Male	Jax_Homeostasis
KD911	Jax20	1st50	Colon	WT	na	Untreated	Male	Jax_Homeostasis
KD912	Jax20	2nd50	Colon	WT	na	Untreated	Male	Jax_Homeostasis
KD804	Kvon1	Fecal	Fecal	WT	day0	Untreated	Female	Kellys_Kvon_ABX_Experiment
KD808	Kvon2	Fecal	Fecal	WT	day0	Untreated	Female	Kellys_Kvon_ABX_Experiment
KD816	Kvon4	Fecal	Fecal	WT	day10	Vancomycin	Female	Kellys_Kvon_ABX_Experiment
KD828	Kvon7	Fecal	Fecal	WT	day0	Untreated	Female	Kellys_Kvon_ABX_Experiment
KD831	Kvon8	Fecal	Fecal	WT	day0	Untreated	Female	Kellys_Kvon_ABX_Experiment
KD844	Kvon11	Fecal	Fecal	WT	day10	Vancomycin	Female	Kellys_Kvon_ABX_Experiment
KD848	Kvon12	Fecal	Fecal	WT	day10	Vancomycin	Female	Kellys_Kvon_ABX_Experiment
KD852	Kvon13	Fecal	Fecal	WT	day0	Untreated	Male	Kellys_Kvon_ABX_Experiment
KD856	Kvon14	Fecal	Fecal	WT	day0	Untreated	Male	Kellys_Kvon_ABX_Experiment
KD868	Kvon17	Fecal	Fecal	WT	day10	Vancomycin	Male	Kellys_Kvon_ABX_Experiment
KD872	Kvon18	Fecal	Fecal	WT	day10	Vancomycin	Male	Kellys_Kvon_ABX_Experiment
KD876	Kvon19	Fecal	Fecal	WT	day0	Untreated	Male	Kellys_Kvon_ABX_Experiment
KD880	Kvon20	Fecal	Fecal	WT	day0	Untreated	Male	Kellys_Kvon_ABX_Experiment
KD884	Kvon21	Fecal	Fecal	WT	day10	Vancomycin	Male	Kellys_Kvon_ABX_Experiment
KD888	Kvon22	Fecal	Fecal	WT	day10	Vancomycin	Male	Kellys_Kvon_ABX_Experiment
KD973	Tac7	Fecal	Fecal	WT	na	Untreated	na	Taconic_Untreated
KD974	Tac8	Fecal	Fecal	WT	na	Untreated	na	Taconic_Untreated
KD975	Tac9	Fecal	Fecal	WT	na	Untreated	na	Taconic_Untreated
KD976	Tac10	Fecal	Fecal	WT	na	Untreated	na	Taconic_Untreated
KD977	Tac11	Fecal	Fecal	WT	na	Untreated	na	Taconic_Untreated
KD978	Tac12	Fecal	Fecal	WT	na	Untreated	na	Taconic_Untreated
KD979	TacV1	Fecal	Fecal	WT	day3	Vancomycin	Female	Taconic_Vancomycin
KD980	TacV2	Fecal	Fecal	WT	day3	Vancomycin	Female	Taconic_Vancomycin
KD981	TacV3	Fecal	Fecal	WT	day3	Vancomycin	Female	Taconic_Vancomycin
KD982	TacV4	Fecal	Fecal	WT	day3	Vancomycin	Female	Taconic_Vancomycin
KD983	TacV5	Fecal	Fecal	WT	day3	Vancomycin	Female	Taconic_Vancomycin
KD984	TacV6	Fecal	Fecal	WT	day3	Vancomycin	Female	Taconic_Vancomycin
KD985	TacC1	Fecal	Fecal	WT	day3	Ciprofloxacin	Female	Taconic_Ciprofloxacin
KD986	TacC2	Fecal	Fecal	WT	day3	Ciprofloxacin	Female	Taconic_Ciprofloxacin
KD987	TacC3	Fecal	Fecal	WT	day3	Ciprofloxacin	Female	Taconic_Ciprofloxacin
KD988	TacC4	Fecal	Fecal	WT	day3	Ciprofloxacin	Female	Taconic_Ciprofloxacin
KD989	TacC5	Fecal	Fecal	WT	day3	Ciprofloxacin	Female	Taconic_Ciprofloxacin
KD990	TacC6	Fecal	Fecal	WT	day3	Ciprofloxacin	Female	Taconic_Ciprofloxacin





